Município;IDH;codibge
São Caetano do Sul;0,862;548807
Águas de São Pedro;0,854;500600
Florianópolis;0,847;205407
Balneário Camboriú;0,845;202008
Vitória;0,845;205309
Santos;0,84;548500
Niterói;0,837;303302
Joaçaba;0,827;209003
Brasília;0,824;300108
Curitiba;0,823;106902
Jundiaí;0,822;525904
Valinhos;0,819;556206
Vinhedo;0,817;556701
Santo André;0,815;513851
Araraquara;0,815;503208
Santana de Parnaíba;0,814;547304
Nova Lima;0,813;144805
Ilha Solteira;0,812;520442
Americana;0,811;501608
Belo Horizonte;0,81;106200
São José;0,809;216602
Joinville;0,809;209102
Maringá;0,808;115200
São José dos Campos;0,807;549904
Blumenau;0,806;202404
Presidente Prudente;0,806;541406
Rio Fortuna;0,806;214904
São Paulo;0,805;550308
Assis;0,805;504008
Campinas;0,805;509502
São Bernardo do Campo;0,805;548708
Porto Alegre;0,805;314902
São Carlos;0,805;548906
Rio Claro;0,803;304409
Jaraguá do Sul;0,803;208906
Rio do Sul;0,802;214805
Bauru;0,801;506003
São Miguel do Oeste;0,801;217204
Pirassununga;0,801;539301
Concórdia;0,8;204301
Vila Velha;0,8;205200
Taubaté;0,8;554102
Ribeirão Preto;0,8;543402
Botucatu;0,8;507506
Goiânia;0,799;208707
Rio de Janeiro;0,799;304557
Marília;0,798;529005
Sorocaba;0,798;552205
Guaratinguetá;0,798;518404
São João da Boa Vista;0,797;549102
São José do Rio Preto;0,797;549805
Fernandópolis;0,797;515509
Itapema;0,796;208302
Tubarão;0,796;218707
Carlos Barbosa;0,796;304804
Brusque;0,795;202909
Iomerê;0,795;207577
Paulínia;0,795;536505
Treze Tílias;0,795;218509
Itajaí;0,795;208203
Holambra;0,793;519055
Quatro Pontes;0,791;120853
Três Arroios;0,791;321634
Nova Odessa;0,791;533403
Ipiranga do Sul;0,791;310462
Saltinho;0,791;545159
Votuporanga;0,79;557105
Santa Cruz da Conceição;0,79;546207
Adamantina;0,79;500105
Chapecó;0,79;204202
Cândido Rodrigues;0,789;510104
Uberlândia;0,789;170206
Barretos;0,789;505500
Luzerna;0,789;210035
Lagoa dos Três Cantos;0,789;311270
Araçatuba;0,788;502804
Cruzeiro;0,788;513405
Mairiporã;0,788;528502
Barra Bonita;0,788;505302
Criciúma;0,788;204608
Indaiatuba;0,788;520509
Caçapava;0,788;508504
Fernando de Noronha;0,788;605459
Palmas;0,788;721000
Itajubá;0,787;132404
Espírito Santo do Pinhal;0,787;515186
Garibaldi;0,786;308607
Pompéia;0,786;540002
Porto União;0,786;213609
Lins;0,786;527108
Barueri;0,786;505708
Piracicaba;0,785;538709
Amparo;0,785;500734
Nova Araçá;0,785;312807
Cuiabá;0,785;103403
Catanduva;0,785;511102
Casca;0,785;304903
Tremembé;0,785;554805
Monte Aprazível;0,785;531407
Santa Fé do Sul;0,784;546603
Ribeirão Pires;0,784;543303
Ivoti;0,784;310801
Jaguariúna;0,784;524709
Santa Maria;0,784;409332
Salto Veloso;0,784;215406
Arujá;0,784;503901
Timbó;0,784;218202
Campo Grande;0,784;401305
Mogi Mirim;0,784;530805
Horizontina;0,783;309605
Pinhalzinho;0,783;538204
Mogi das Cruzes;0,783;530607
Cascavel;0,782;303501
Caxias do Sul;0,782;305108
Pato Branco;0,782;118501
Cerquilho;0,782;511508
Lavras;0,782;138203
São Bento do Sul;0,782;215802
Caieiras;0,781;509007
Ijuí;0,781;310207
Santo Amaro da Imperatriz;0,781;215703
Bombinhas;0,781;202453
Maravilha;0,781;704609
Águas da Prata;0,781;500402
Lacerdópolis;0,781;209201
Santa Bárbara D'Oeste;0,781;545803
Araras;0,781;503307
Bebedouro;0,78;506102
Cocal do Sul;0,78;204251
Pomerode;0,78;213203
Franca;0,78;516200
Vista Alegre do Prata;0,78;323606
Nova Petrópolis;0,78;313201
Boituva;0,78;507001
Braço do Trombudo;0,78;202859
Orlândia;0,78;534302
Corupá;0,78;204509
Cotia;0,78;513009
Birigui;0,78;506508
Salto;0,78;545209
Poços de Caldas;0,779;151800
Andradina;0,779;502101
Piratininga;0,779;539400
Seara;0,779;217501
Bento Gonçalves;0,778;302105
Varginha;0,778;170701
Juiz de Fora;0,778;136702
Ourinhos;0,778;534708
Jaú;0,778;525300
Londrina;0,778;113700
Tietê;0,778;554508
Jaboticabal;0,778;524303
Itatiba;0,778;523404
Lajeado;0,778;712009
Braço do Norte;0,778;202800
Nova Bréscia;0,778;313003
Victor Graeff;0,777;323200
José Bonifácio;0,777;525706
Selbach;0,777;320305
Indaial;0,777;207502
Louveira;0,777;527306
Mafra;0,777;210100
Jacareí;0,777;524402
Sarandi;0,777;126256
Lagoa Santa;0,777;137601
Pinheiro Preto;0,777;213005
Farroupilha;0,777;307906
Iracemápolis;0,776;521408
Itaú de Minas;0,776;133758
Bragança Paulista;0,776;507605
Erechim;0,776;307005
Passo Fundo;0,776;314100
Jales;0,776;524808
Osasco;0,776;534401
Araçoiaba da Serra;0,776;502903
Pirapozinho;0,776;539202
Dracena;0,776;514403
Xanxerê;0,775;219507
Limeira;0,775;526902
Ceres;0,775;205406
Itapiranga;0,775;302009
Viçosa;0,775;414902
Santa Rita do Passa Quatro;0,775;547502
Trombudo Central;0,775;218608
Ouro;0,774;211801
Treviso;0,774;218350
Massaranduba;0,774;509206
Mogi Guaçu;0,774;530706
Siderópolis;0,774;217600
Marau;0,774;311809
Francisco Beltrão;0,774;108403
Cruzália;0,774;513306
Marechal Cândido Rondon;0,774;114609
Pouso Alegre;0,774;152501
São José do Rio Pardo;0,774;549706
Pedrinhas Paulista;0,774;537156
Paraí;0,773;314001
Itu;0,773;523909
Auriflama;0,773;504206
Araguari;0,773;103504
Serra Alta;0,773;217550
Santana da Ponte Pensa;0,773;547205
Rio das Ostras;0,773;304524
Pindamonhangaba;0,773;538006
Olímpia;0,773;533908
Veranópolis;0,773;322806
Santa Cruz do Sul;0,773;316808
Matão;0,773;529302
Sebastianópolis do Sul;0,773;551306
São Sebastião;0,772;708808
Aratiba;0,772;300901
Uberaba;0,772;170107
Araxá;0,772;104007
Santo Ângelo;0,772;317509
Recife;0,772;611606
Sales Oliveira;0,772;544905
Monções;0,772;531001
Urussanga;0,772;219002
Santa Salete;0,772;547650
Lajeado Grande;0,771;209458
Maracaí;0,771;528809
Volta Redonda;0,771;306305
Itá;0,771;208005
Poá;0,771;539806
Ipatinga;0,771;131307
Tupã;0,771;555000
Ouroeste;0,77;534757
Lages;0,77;209300
Montes Claros;0,77;143302
Aracaju;0,77;800308
Santa Rosa de Viterbo;0,77;547601
Macatuba;0,77;528007
Armazém;0,77;201505
Oriente;0,77;534104
Timóteo;0,77;168705
Presidente Castello Branco;0,77;213906
Vargem Grande Paulista;0,77;556453
Tupi Paulista;0,769;555109
Santa Rosa;0,769;317202
Taboão da Serra;0,769;552809
Cosmópolis;0,769;512803
São Carlos;0,769;548906
Campo Limpo Paulista;0,769;509601
Schroeder;0,769;217402
Garça;0,769;516705
Arroio do Meio;0,769;301008
Pedreira;0,769;537107
Barbacena;0,769;105608
Lucas do Rio Verde;0,768;105259
Toledo;0,768;169109
Nova Veneza;0,768;211603
Nova Boa Vista;0,768;312955
São Luís;0,768;111300
Resende;0,768;304201
São Vicente;0,768;413003
Palotina;0,768;117909
Três Passos;0,768;321907
São Roque;0,768;550605
Igarapava;0,768;520103
Bilac;0,768;506409
Maracajá;0,768;210407
Monte Alto;0,768;531308
São Marcos;0,768;319000
Regente Feijó;0,768;542404
Serra Negra;0,767;551603
Votorantim;0,767;557006
Capivari de Baixo;0,767;203956
Orindiúva;0,767;534203
Estrela;0,767;307807
Avaré;0,767;504503
Dois Vizinhos;0,767;107207
Encantado;0,767;306809
Novo Xingu;0,767;313466
Cedral;0,766;103109
Poloni;0,766;539905
Mauá;0,766;529401
Nova Prata;0,766;313300
Parnamirim;0,766;403251
Santiago;0,766;317400
Ivatuba;0,766;111605
Peritiba;0,766;212601
Pereira Barreto;0,766;537404
Capivari do Sul;0,766;304671
Alumínio;0,766;501152
Carazinho;0,766;304705
São Simão;0,766;550902
Lorena;0,766;527207
Catalão;0,766;205109
Ituverava;0,765;524105
Guaporé;0,765;309407
Atibaia;0,765;504107
Ibirubá;0,765;310009
Imbituba;0,765;207304
Suzano;0,765;552502
Gaspar;0,765;205902
São Domingos;0,765;513968
Espumoso;0,765;307500
Não-Me-Toque;0,765;312658
Colinas;0,765;103505
Patos de Minas;0,765;148004
Nova Erechim;0,765;211405
Maricá;0,765;302700
Nova Europa;0,765;532900
Santo Antônio do Palma;0,764;317558
Arroio Trinta;0,764;201604
Gramado;0,764;309100
Rondinha;0,764;316204
Lençóis Paulista;0,764;526803
Ouro Branco;0,764;408508
Cerro Largo;0,764;305207
São Valentim do Sul;0,764;319711
Videira;0,764;219309
Cachoeira Paulista;0,764;508603
Imbé;0,764;310330
Montauri;0,764;312351
Rosana;0,764;544251
Macaé;0,764;302403
Divinópolis;0,764;122306
Paraíso do Tocantins;0,764;716109
São Domingos do Sul;0,763;318051
Medianeira;0,763;115804
Presidente Venceslau;0,763;541505
São Pedro do Butiá;0,763;319372
Guararapes;0,763;518206
Natal;0,763;408102
João Pessoa;0,763;507507
Paranavaí;0,763;118402
Itapetininga;0,763;522307
Gabriel Monteiro;0,763;516507
Ponta Grossa;0,763;119905
Barra Funda;0,763;301958
Fagundes Varela;0,763;307864
Buritama;0,763;508108
Guarulhos;0,763;518800
Paraguaçu Paulista;0,762;535507
Sumaré;0,762;552403
David Canabarro;0,762;306304
Saldanha Marinho;0,762;316436
Itupeva;0,762;524006
Serranópolis do Iguaçu;0,762;126355
Boa Vista do Buricá;0,762;302204
Mirassol;0,762;530300
Osvaldo Cruz;0,762;534609
Itapira;0,762;522604
Torres;0,762;321501
São Joaquim da Barra;0,762;549409
Mococa;0,762;530508
Santa Cruz do Rio Pardo;0,762;546405
São Francisco do Sul;0,762;216206
Nova Pádua;0,761;313086
Indiana;0,761;520608
Alfenas;0,761;101607
Panambi;0,761;313904
Itapoá;0,761;208450
Entre Rios do Oeste;0,761;107538
Umuarama;0,761;128104
Vila Maria;0,761;323408
Santa Rita D'Oeste;0,761;547403
São João do Oeste;0,761;216255
Taió;0,761;217808
Batatais;0,761;505906
Conselheiro Lafaiete;0,761;118304
Iguaba Grande;0,761;301876
Zortéa;0,761;219853
Sertãozinho;0,761;515930
Itaara;0,76;310538
Sete Lagoas;0,76;167202
Goiandira;0,76;208509
Campinas do Sul;0,76;303806
Araranguá;0,76;201406
Santa Adélia;0,76;545605
Tapejara;0,76;126801
Serafina Corrêa;0,76;320404
Tijucas;0,76;218004
Jandira;0,76;525003
Rio Negro;0,76;122305
Taiúva;0,76;553203
Modelo;0,76;210902
Descalvado;0,76;513702
Frederico Westphalen;0,76;308508
Porto Belo;0,76;213500
Estrela D'Oeste;0,76;515202
Várzea Paulista;0,759;556503
Penápolis;0,759;537305
Iporã do Oeste;0,759;207650
Monte Alegre do Sul;0,759;531209
Santo Antônio do Planalto;0,759;317756
Nova Candelária;0,759;313011
Salvador;0,759;927408
Cornélio Procópio;0,759;106407
São Lourenço;0,759;163706
Presidente Getúlio;0,759;214003
Taquaral;0,759;553658
Caraguatatuba;0,759;510500
Rio das Pedras;0,759;544004
Três de Maio;0,759;321808
Inúbia Paulista;0,759;520806
Gurupi;0,759;709500
Rubinéia;0,759;544509
Herval D'Oeste;0,758;206702
Picada Café;0,758;314423
São José dos Pinhais;0,758;125506
Guabiju;0,758;309258
Álvares Machado;0,758;501301
Cordeirópolis;0,758;512407
Fernando Prestes;0,758;515608
Iguaraçu;0,758;110003
Nova Mutum;0,758;106224
João Monlevade;0,758;136207
Nova Londrina;0,758;117107
São João Del Rei;0,758;162500
Piraju;0,758;538808
Itaúna;0,758;133808
Maripá;0,758;115358
Porto Feliz;0,758;540606
Colorado;0,758;105904
Antônio Prado;0,758;300802
Faxinal dos Guedes;0,758;205308
Piratuba;0,758;213104
Gravatal;0,757;206207
Santa Rosa de Lima;0,757;806503
Presidente Bernardes;0,757;153103
Santo Antônio do Aracanguá;0,757;548054
Canoinhas;0,757;203808
Diadema;0,757;513801
Vanini;0,757;322558
Águas de Santa Bárbara;0,757;500550
Dois Lajeados;0,757;306452
Vista Gaúcha;0,757;323705
Campo Mourão;0,757;104303
Jataí;0,757;211909
Piquete;0,757;538501
Presidente Lucena;0,757;315149
Colina;0,757;512001
Cachoeirinha;0,757;703826
Estância Velha;0,757;307609
Chapada;0,757;305306
Palhoça;0,757;211900
Pedro Leopoldo;0,757;149309
Ilhabela;0,756;520400
Balneário Piçarras;0,756;212809
Nova Castilho;0,756;532868
Jambeiro;0,756;524907
Quinze de Novembro;0,756;315354
Itabira;0,756;131703
Cravinhos;0,756;513108
Hortolândia;0,756;519071
Bálsamo;0,756;504800
Pirangi;0,756;539004
Contagem;0,756;118601
Fortaleza dos Valos;0,756;308458
Passos;0,756;147907
Coronel Fabriciano;0,755;119401
São Pedro;0,755;412708
São Ludgero;0,755;217006
Saudades;0,755;217303
Brodowski;0,755;507803
Aparecida;0,755;500775
Alto Bela Vista;0,755;200754
Rondonópolis;0,755;107602
Formiga;0,755;126109
Cianorte;0,755;105508
Montenegro;0,755;312401
Pongaí;0,755;540101
Orleans;0,755;211702
São José do Ouro;0,755;318606
Fortaleza;0,754;304400
Sinop;0,754;107909
Guabiruba;0,754;206306
Boracéia;0,754;507308
São Vendelino;0,754;319752
Rio do Oeste;0,754;214607
Esteio;0,754;307708
Mongaguá;0,754;531100
Analândia;0,754;502002
Neves Paulista;0,754;532504
Vera Cruz;0,754;414803
Praia Grande;0,754;541000
Cunhataí;0,754;204756
Rodeio;0,754;215109
Corumbataí;0,754;512704
Lauro de Freitas;0,754;919207
Chapadão do Sul;0,754;002951
Constantina;0,754;305801
Rio Verde;0,754;218805
Registro;0,754;542602
Flores da Cunha;0,754;308201
Rancho Queimado;0,753;214300
Ipeúna;0,753;521101
Palmeira D'Oeste;0,753;535200
Salvador das Missões;0,753;316477
Monte Azul Paulista;0,753;531506
Congonhas;0,753;118007
Tarumã;0,753;553955
Santo Anastácio;0,753;547700
Magda;0,753;528304
Três Fronteiras;0,753;554904
Nilópolis;0,753;303203
Mangaratiba;0,753;302601
Novo Horizonte;0,753;923035
Estação;0,753;307559
Guaíra;0,753;517406
Ajuricaba;0,753;300208
Garopaba;0,753;205704
Forquilhinha;0,753;205456
João Neiva;0,753;203130
Nicolau Vergueiro;0,753;312674
Aracruz;0,752;200607
Enéas Marques;0,752;107405
Laguna;0,752;209409
Marapoama;0,752;528858
Araguaína;0,752;702109
Monte Belo do Sul;0,752;312385
Tatuí;0,752;554003
Três Marias;0,752;169356
Tunápolis;0,752;218756
Severiano de Almeida;0,752;320602
Itumbiara;0,752;211503
Primavera do Leste;0,752;107040
Westfalia;0,752;#N/D
Pranchita;0,752;120358
Xaxim;0,752;219705
Boa Vista;0,752;400100
Lucélia;0,752;527405
Capinzal;0,752;203907
Mandaguari;0,751;114203
Guaxupé;0,751;128709
Nhandeara;0,751;532603
Cataguases;0,751;115300
Pinhais;0,751;119152
Foz do Iguaçu;0,751;108304
Cambuí;0,751;110608
Teresina;0,751;211001
Indiaporã;0,751;520707
Guarujá;0,751;518701
Porto Ferreira;0,751;540705
Rancharia;0,751;542206
Guaraciaba;0,751;128204
Guaramirim;0,751;206504
Sales;0,751;544806
Osório;0,751;313508
Ubatuba;0,751;555406
Turiúba;0,751;555208
Américo Brasiliense;0,751;501707
Sertão;0,751;320503
Bastos;0,751;505807
Planalto Alegre;0,751;213153
Tapiratiba;0,751;553609
Catiguá;0,751;511201
Mirandópolis;0,751;530102
Paranaguá;0,75;118204
Canoas;0,75;304606
Cruz Alta;0,75;306106
Presidente Epitácio;0,75;541307
Bariri;0,75;505203
Bom Despacho;0,75;107406
Campo Verde;0,75;102678
Água Santa;0,75;300059
Capivari;0,75;510401
São João do Pau D'Alho;0,75;549300
Feliz;0,75;308102
União Paulista;0,749;555703
Campos do Jordão;0,749;509700
Embu-Guaçu;0,749;515103
Oscar Bressane;0,749;534500
Betim;0,749;106705
Laurentino;0,749;209508
Linha Nova;0,749;311643
Arcos;0,749;104205
São Lourenço do Oeste;0,749;216909
Terra Roxa;0,749;554409
Antônio Carlos;0,749;102902
Ipuã;0,749;521309
Pareci Novo;0,749;314035
Peruíbe;0,749;537602
Rio Grande da Serra;0,749;544103
Paraíso;0,749;535705
Carapicuíba;0,749;510609
Harmonia;0,749;309555
Pirajuí;0,749;538907
Xavantina;0,749;219606
Artur Nogueira;0,749;503802
São João de Iracema;0,748;549250
Duartina;0,748;514502
Tanabi;0,748;553401
Ituporanga;0,748;208500
Barra do Garças;0,748;101803
Mondaí;0,748;211009
Canela;0,748;304408
Nova Trento;0,748;211504
São João do Polêsine;0,748;318432
Miraselva;0,748;116000
Apucarana;0,748;101408
Cafelândia;0,748;508801
Cabedelo;0,748;503209
Arapongas;0,748;101507
Barão;0,748;301651
Taquaritinga;0,748;553708
Sananduva;0,747;316600
Novo Hamburgo;0,747;313409
Tucunduva;0,747;322103
Pato Bragado;0,747;118451
Condor;0,747;305702
Astorga;0,747;102109
Floreal;0,747;515905
Dourados;0,747;003702
Ibitinga;0,747;519600
General Salgado;0,747;516903
Cândido Mota;0,747;510005
São José do Inhacorá;0,747;318499
Sud Mennucci;0,747;552304
Jandaia do Sul;0,747;112108
Confins;0,747;117876
Potirendaba;0,747;540804
Iturama;0,747;134400
Cordilheira Alta;0,747;204350
Ouvidor;0,747;215504
Nova Aurora;0,747;116703
Brumadinho;0,747;109006
Nova Bassano;0,747;312906
Governador Celso Ramos;0,747;206009
Ribeirão do Sul;0,747;543204
Tapera;0,747;321006
Charqueadas;0,747;305355
Alto Alegre;0,747;400050
Teutônia;0,747;321451
Elisiário;0,747;514924
Balneário Arroio do Silva;0,746;201950
Paraíso do Norte;0,746;118006
Santa Tereza;0,746;317251
Nuporanga;0,746;533601
Valparaíso de Goiás;0,746;221858
Mato Leitão;0,746;312153
Doutor Camargo;0,746;107306
Getúlio Vargas;0,746;308904
Urânia;0,746;555802
Coqueiros do Sul;0,746;305850
Muçum;0,746;312609
Itambé;0,746;607653
Borá;0,746;507209
Cachoeiro de Itapemirim;0,746;201209
Belém;0,746;501402
Colatina;0,746;201506
Bady Bassitt;0,746;504602
Palmital;0,746;535309
Bom Princípio;0,746;302352
Capitão;0,746;304697
Miguel Pereira;0,745;302908
Campo Largo;0,745;104204
Águas Frias;0,745;200556
Itanhaém;0,745;522109
Campo Bom;0,745;303905
Bozano;0,745;302584
Iacanga;0,745;519105
Rafard;0,745;542107
Floraí;0,745;107801
Echaporã;0,745;514700
Urupês;0,745;556008
Nova Friburgo;0,745;303401
Petrópolis;0,745;303906
Águas de Lindóia;0,745;500501
Agudos;0,745;500709
Américo de Campos;0,745;501806
Mairipotaba;0,745;212600
Três Ranchos;0,745;221304
Junqueirópolis;0,745;526001
Nova Palma;0,744;313102
Torrinha;0,744;554706
Uruguaiana;0,744;322400
Três Corações;0,744;169307
Campos de Júlio;0,744;102686
Dumont;0,744;514601
Sorriso;0,744;107925
Itápolis;0,744;522703
Pires do Rio;0,744;217401
Coronel Freitas;0,744;204400
Bento de Abreu;0,744;506201
Leme;0,744;526704
Formosa;0,744;208004
Perdões;0,744;149903
Barra do Jacaré;0,744;102703
Paracatu;0,744;147006
Santa Helena;0,744;109809
Coronel Barros;0,744;305871
Salete;0,744;215307
Poço das Antas;0,744;314753
Bicas;0,744;106903
São Manuel;0,744;550100
Mendonça;0,744;529500
Vista Alegre do Alto;0,744;556909
Três Lagoas;0,744;008305
Lobato;0,744;113601
Arealva;0,744;503406
Rio Grande;0,744;315602
Santa Cruz da Esperança;0,743;546256
Nova Luzitânia;0,743;533304
Imigrante;0,743;310363
Jussara;0,743;918506
Dois Irmãos;0,743;306403
Sobradinho;0,743;930774
Augusto Pestana;0,743;301503
Macaubal;0,743;528106
Capão da Canoa;0,743;304630
Penha;0,743;212502
Descanso;0,743;204905
Promissão;0,743;541604
Mairinque;0,743;528403
Jacarezinho;0,743;111803
Caxambu;0,743;115508
Morro Reuter;0,743;312476
Guatapará;0,743;518859
Jaguariaíva;0,743;112009
Lindóia do Sul;0,743;209854
Mira Estrela;0,743;530003
Marema;0,743;210555
Matinhos;0,743;115705
São Jorge do Ivaí;0,743;125308
Iporá;0,743;210208
Pedranópolis;0,742;536901
Barro Alto;0,742;903235
Itapecerica da Serra;0,742;522208
Vila Flores;0,742;323309
Silveira Martins;0,742;320651
Cachoeira do Sul;0,742;303004
Vazante;0,742;171006
Lourdes;0,742;527256
Irani;0,742;207809
Bocaina;0,742;201804
Tio Hugo;0,742;321469
Lindóia;0,742;527009
Nova Ramada;0,742;313334
São Martinho;0,742;217105
Cafelândia;0,742;508801
Ascurra;0,742;201703
Chapadão do Céu;0,742;205471
Bom Sucesso do Sul;0,742;103222
Cunha Porã;0,742;204707
Mariana;0,742;140001
Dolcinópolis;0,742;514205
Quatro Barras;0,742;120804
Campos Novos;0,742;203600
Dona Emma;0,742;205100
Jumirim;0,741;525854
Nova Roma do Sul;0,741;313359
Anhumas;0,741;502408
Bambuí;0,741;105103
Santos Dumont;0,741;160702
Motuca;0,741;532058
Carneirinho;0,741;114550
Ouro Preto;0,741;146107
Içara;0,741;207007
Dirce Reis;0,741;513850
Cachoeira da Prata;0,741;109600
Agronômica;0,741;200309
João Ramalho;0,741;525607
Cotiporã;0,741;305959
Monte Castelo;0,741;531605
Guaraí;0,741;709302
Pejuçara;0,741;314308
Miguelópolis;0,741;529708
Alfredo Marcondes;0,741;500808
Teodoro Sampaio;0,741;931400
São Luiz Gonzaga;0,741;318903
Otacílio Costa;0,74;211751
Quirinópolis;0,74;218508
Brotas;0,74;507902
Aramina;0,74;503000
Lagoa Santa;0,74;137601
Tiradentes;0,74;168804
Ibirá;0,74;519402
Muzambinho;0,74;144102
Macedônia;0,74;528205
Porto Nacional;0,74;718204
Delfinópolis;0,74;121209
Rifaina;0,74;543600
Santópolis do Aguapeí;0,74;548401
Santa Clara do Sul;0,74;316758
Salvador do Sul;0,74;316501
Nova Alvorada;0,74;312757
Estiva Gerbi;0,74;557303
Araucária;0,74;101804
Chopinzinho;0,74;105409
Mercedes;0,74;115853
Sabáudia;0,74;122701
União da Vitória;0,74;128203
Benedito Novo;0,74;202206
Bagé;0,74;301602
Arroio do Sal;0,74;301057
Anta Gorda;0,74;300703
Almirante Tamandaré do Sul;0,74;300471
Alegrete;0,74;300406
Turvo;0,74;127965
São João Batista;0,74;111003
Estrela do Norte;0,74;515301
São Gonçalo;0,739;304904
São Pedro da Serra;0,739;319356
Catuípe;0,739;305009
São Sebastião do Caí;0,739;319505
Carlos Gomes;0,739;304853
Taquaruçu do Sul;0,739;321329
Santo Augusto;0,739;317806
Ubiratã;0,739;128005
Biguaçu;0,739;202305
Guaiçara;0,739;517208
Edéia;0,739;207402
Serra;0,739;205002
São José da Barra;0,739;162948
Bom Retiro do Sul;0,739;302402
Santa Mercedes;0,739;547106
Pelotas;0,739;314407
Viradouro;0,739;556800
Pederneiras;0,739;536703
Itanhandu;0,739;133105
Ituiutaba;0,739;134202
Manduri;0,739;528601
Piracaia;0,739;538600
Ibiaçá;0,739;309803
Rolândia;0,739;122404
Santo Inácio;0,739;124509
Vista Alegre;0,739;323507
São Leopoldo;0,739;318705
Nova Granada;0,739;533007
Santa Ernestina;0,738;546504
Lagoa Vermelha;0,738;311304
Morro da Fumaça;0,738;211207
Santo Cristo;0,738;317905
Dourado;0,738;514304
Rio Negrinho;0,738;215000
Meleiro;0,738;210803
Santa Isabel;0,738;546801
São João do Itaperiú;0,738;216354
Cabreúva;0,738;508405
Valença;0,738;932903
Ipumirim;0,738;207700
Ferraz de Vasconcelos;0,738;515707
Ilhota;0,738;207106
Barra Velha;0,738;202107
Campina das Missões;0,738;303707
Santa Terezinha de Itaipu;0,738;124053
Porecatu;0,738;120002
Pontal do Paraná;0,738;119954
Quatá;0,738;541703
Mirassolândia;0,738;530409
Nova Aliança;0,738;532801
Itaipulândia;0,738;110953
Gaurama;0,738;308706
Onda Verde;0,738;534005
Humaitá;0,738;301704
Corbélia;0,738;106308
Mesquita;0,737;141702
Tangará;0,737;414001
Manaus;0,737;302603
Luiz Alves;0,737;210001
Braúna;0,737;507704
Pindorama;0,737;538105
Cubatão;0,737;513504
Vargem Grande do Sul;0,737;556404
Presidente Nereu;0,737;214102
Parapuã;0,737;536000
Palmitos;0,737;212106
Santa Gertrudes;0,737;546702
Uruaçu;0,737;221601
Roseira;0,737;544301
Guaraci;0,737;517901
Cumari;0,737;206602
Ibirama;0,737;206900
Guarani das Missões;0,737;309506
Santa Lúcia;0,737;546900
Anápolis;0,737;201108
Ribeirão Vermelho;0,737;154705
Piumhi;0,737;151503
Itatiaia;0,737;302254
Vale Real;0,737;322541
Vera Cruz;0,737;414803
Palmeira das Missões;0,737;313706
Grão Pará;0,736;206108
São Borja;0,736;318002
Turmalina;0,736;169703
Pereiras;0,736;537503
Navegantes;0,736;211306
Atalaia;0,736;700409
Maracaju;0,736;005400
Pariquera-Açu;0,736;536208
Floresta;0,736;605707
Gravataí;0,736;309209
Camargo;0,736;303558
Nova Itaberaba;0,736;211454
São Gotardo;0,736;162104
Iepê;0,736;519907
Porto Velho;0,736;100205
Unaí;0,736;170404
Mendes;0,736;302809
Ipira;0,736;207601
Sanclerlândia;0,736;219001
Charqueada;0,736;511706
Conchas;0,736;512308
Valentim Gentil;0,735;556107
Cabo Frio;0,735;300704
Buritizal;0,735;508207
Itapevi;0,735;522505
Bom Jesus da Penha;0,735;107604
São Mateus;0,735;204906
Marialva;0,735;114807
Porto Rico;0,735;120200
Lauro Muller;0,735;#N/D
Caçador;0,735;203006
Presidente Alves;0,735;541109
Santa Branca;0,735;546009
Xangri-Lá;0,735;323804
Aspásia;0,735;503950
Nova Independência;0,735;533205
Santa Rita do Trivelato;0,735;107768
Jardinópolis;0,735;525102
Jaciara;0,735;104807
Embu;0,735;#N/D
Olinda;0,735;609600
Nova Esperança do Sul;0,735;313037
Glicério;0,735;517109
Tabapuã;0,735;552601
Morrinhos;0,734;308906
Pontal do Araguaia;0,734;106653
São Pedro de Alcântara;0,734;217253
Bernardino de Campos;0,734;506300
Divinolândia;0,734;513900
Cristais Paulista;0,734;513207
Andradas;0,734;102605
Alto Feliz;0,734;300570
Bom Jesus do Norte;0,734;201100
Barra do Guarita;0,734;301859
Sarzedo;0,734;165537
Cássia dos Coqueiros;0,734;510906
Rincão;0,734;543709
Barroso;0,734;105905
Campo Novo do Parecis;0,734;102637
Cajobi;0,734;509304
Cambé;0,734;103701
Telêmaco Borba;0,734;127106
Várzea Grande;0,734;211407
Muriaé;0,734;143906
Arraial do Cabo;0,733;300258
União da Serra;0,733;322350
Macapá;0,733;600303
Arabutã;0,733;201273
Renascença;0,733;121604
Barra do Piraí;0,733;300308
Taquari;0,733;321303
Gentil;0,733;308854
Santa Clara D'Oeste;0,733;546108
Ariranha;0,733;503703
Monte Mor;0,733;531803
Montividiu;0,733;213756
Colombo;0,733;105805
Nova Aurora;0,733;116703
Jarinu;0,733;525201
Iacri;0,733;519204
Lucianópolis;0,733;527504
Triunfo;0,733;516805
Protásio Alves;0,733;315172
Pradópolis;0,733;540903
Bananal;0,733;504909
Caldas Novas;0,733;204508
Carmo do Rio Claro;0,733;114402
Aurora;0,733;301703
Atalanta;0,733;201802
Pontes Gestal;0,732;540309
Paranapuã;0,732;535903
Céu Azul;0,732;105300
Palestina;0,732;706208
Piacatu;0,732;537701
Rodeio Bonito;0,732;315909
Flórida;0,732;108106
Extrema;0,732;125101
Lagoa da Prata;0,732;137205
Pedro Afonso;0,732;716505
Sapezal;0,732;107875
Quintana;0,732;542008
