COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;LAT;LNG;POP_EST_2020;CAPITAL;NOME_ANTIGO_OU_GRAFIA_DIFERENTE;ALT;REGIAO;COD_UE_TSE_2016;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1100452;4;Buritis;BURITIS;RO;Rondônia;-1.020.980.541;-6.382.967.879;40356;0;NULL;1.531.711.660.000;N;779;0,616;0,751;0,479;0,65
1100502;689;Novo Horizonte do Oeste;NOVO HORIZONTE DO OESTE;RO;Rondônia;-1.170.974.292;-6.199.438.766;8329;0;NULL;2.295.117.050.000;N;515;0,634;0,799;0,527;0,606
1100601;677;Cacaulândia;CACAULANDIA;RO;Rondônia;-1.033.887.284;-6.290.318.993;6269;0;NULL;1.610.565.580.000;N;620;0,646;0,801;0,506;0,664
1100700;679;Campo Novo de Rondônia;CAMPO NOVO DE RONDONIA;RO;Rondônia;-1.056.841.647;-6.362.499.143;14266;0;NULL;2.061.489.360.000;N;671;0,593;0,772;0,404;0,667
1100809;681;Candeias do Jamari;CANDEIAS DO JAMARI;RO;Rondônia;-8.785.020.703;-6.370.002.007;27388;0;NULL;847.502.190.000;N;477;0,649;0,819;0,512;0,652
1100908;691;Castanheiras;CASTANHEIRAS;RO;Rondônia;-1.142.684.223;-619.491.612;2987;0;NULL;2.149.953.940.000;N;531;0,658;0,803;0,547;0,65
1100924;6;Chupinguaia;CHUPINGUAIA;RO;Rondônia;-1.255.684.076;-6.090.184.775;11472;0;NULL;3.402.996.310.000;N;809;0,652;0,82;0,514;0,659
1100940;8;Cujubim;CUJUBIM;RO;Rondônia;-9.378.193.399;-6.258.717.453;26183;0;NULL;1.109.598.940.000;N;680;0,612;0,789;0,439;0,663
1101005;693;Governador Jorge Teixeira;GOVERNADOR JORGE TEIXEIRA;RO;Rondônia;-1.061.207.177;-6.274.045.764;7445;0;NULL;2.017.810.080.000;N;612;0,596;0,762;0,444;0,627
1101104;683;Itapuã do Oeste;ITAPUA DO OESTE;RO;Rondônia;-9.191.871.675;-6.318.233.702;10641;0;NULL;989.510.800.000;N;493;0,614;0,751;0,488;0,633
1101203;695;Ministro Andreazza;MINISTRO ANDREAZZA;RO;Rondônia;-1.119.623.798;-6.151.892.193;9559;0;NULL;2.662.915.260.000;N;604;0,638;0,776;0,518;0,647
1101302;697;Mirante da Serra;MIRANTE DA SERRA;RO;Rondônia;-1.104.560.929;-626.694.271;10818;0;NULL;2.118.156.430.000;N;574;0,643;0,8;0,494;0,673
1101401;685;Monte Negro;MONTE NEGRO;RO;Rondônia;-1.026.309.776;-6.329.555.917;16007;0;NULL;1.554.003.370.000;N;663;0,607;0,762;0,454;0,645
1101435;10;Nova União;NOVA UNIAO;RO;Rondônia;-1.091.553.204;-625.550.894;6895;0;NULL;2.414.937.240.000;N;744;0,587;0,753;0,442;0,608
1101450;12;Parecis;PARECIS;RO;Rondônia;-1.217.982.705;-6.159.799.797;6198;0;NULL;2.962.828.380.000;N;701;0,617;0,8;0,485;0,604
1101468;14;Pimenteiras do Oeste;PIMENTEIRAS DO OESTE;RO;Rondônia;-13.476.562;-61.044.379;2148;0;NULL;1.702.555.290.000;N;787;0,665;0,816;0,545;0,662
1101476;16;Primavera de Rondônia;PRIMAVERA DE RONDONIA;RO;Rondônia;-1.182.570.695;-6.131.654.624;2776;0;NULL;2.445.673.510.000;N;728;0,641;0,799;0,512;0,645
1101484;18;São Felipe D'Oeste;SAO FELIPE DOESTE;RO;Rondônia;-1.191.438.935;-6.151.250.811;5066;0;NULL;2.697.267.670.000;N;710;0,649;0,78;0,571;0,615
1101492;20;São Francisco do Guaporé;SAO FRANCISCO DO GUAPORE;RO;Rondônia;-1.206.379.841;-6.357.086.471;20681;0;NULL;1.656.937.260.000;N;795;0,611;0,751;0,462;0,657
1101500;699;Seringueiras;SERINGUEIRAS;RO;Rondônia;-1.176.711.664;-63.038.761;11851;0;NULL;1.858.308.780.000;N;582;0,598;0,779;0,427;0,644
1101559;22;Teixeirópolis;TEIXEIROPOLIS;RO;Rondônia;-1.093.216.929;-6.225.592.225;4233;0;NULL;1.913.493.600.000;N;752;0,643;0,818;0,498;0,653
1101609;975;Theobroma;THEOBROMA;RO;Rondônia;-1.024.873.055;-6.234.514.553;10395;0;NULL;1.915.985.480.000;N;590;0,589;0,757;0,434;0,622
1101708;977;Urupá;URUPA;RO;Rondônia;-1.112.854.528;-6.237.063.245;11272;0;NULL;1.971.700.240.000;N;566;0,609;0,772;0,471;0,621
1101757;24;Vale do Anari;VALE DO ANARI;RO;Rondônia;-9.851.392.708;-6.217.682.344;11377;0;NULL;1.576.653.530.000;N;698;0,584;0,756;0,421;0,626
1101807;979;Vale do Paraíso;VALE DO PARAISO;RO;Rondônia;-1.043.105.268;-6.213.439.036;6656;0;NULL;1.539.944.740.000;N;558;0,627;0,792;0,485;0,641
1200013;643;Acrelândia;ACRELANDIA;AC;Acre;-1.007.379.389;-6.705.231.658;15490;0;NULL;2.058.940.140.000;N;1120;0,604;0,808;0,466;0,584
1200054;157;Assis Brasil;ASSIS BRASIL;AC;Acre;-1.094.286.568;-6.956.345.917;7534;0;NULL;2.348.668.350.000;N;1570;0,588;0,77;0,456;0,578
1200104;105;Brasiléia;BRASILEIA;AC;Acre;-1.101.641.102;-6.874.794.343;26702;0;NULL;1.883.241.390.000;N;1058;0,614;0,77;0,485;0,619
1200138;645;Bujari;BUJARI;AC;Acre;-9.820.019.627;-6.795.185.928;10420;0;NULL;1.981.741.970.000;N;1007;0,589;0,772;0,439;0,603
1200179;647;Capixaba;CAPIXABA;AC;Acre;-1.056.976.771;-6.767.350.797;12008;0;NULL;2.123.033.090.000;N;1015;0,575;0,794;0,398;0,601
1200203;107;Cruzeiro do Sul;CRUZEIRO DO SUL;AC;Acre;-7.630.690.005;-7.267.253.132;89072;0;NULL;1.830.795.250.000;N;1074;0,664;0,776;0,582;0,648
1200252;651;Epitaciolândia;EPITACIOLANDIA;AC;Acre;-1.102.823.983;-6.874.486.807;18696;0;NULL;2.060.361.260.000;N;1112;0,653;0,771;0,553;0,654
1200302;113;Feijó;FEIJO;AC;Acre;-816.024.753;-7.035.398.361;34884;0;NULL;1.598.224.970.000;N;1139;0,539;0,723;0,388;0,559
1200328;653;Jordão;JORDAO;AC;Acre;-919.335.786;-7.195.087.512;8473;0;NULL;2.649.778.810.000;N;1104;0,469;0,731;0,283;0,499
1200336;109;Mâncio Lima;MANCIO LIMA;AC;Acre;-7.593.222.594;-7.291.650.103;19311;0;NULL;1.870.659.980.000;N;1090;0,625;0,77;0,546;0,58
1200344;155;Manoel Urbano;MANOEL URBANO;AC;Acre;-8.836.317.737;-6.925.994.458;9581;0;NULL;1.621.338.210.000;N;1554;0,551;0,767;0,373;0,586
