epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202113,2021-03-31,308,AM,Ipixuna,1301803,city,4231,13901.30109,4,17,0,0.004,30436,False,False
202113,2021-03-31,361,AM,Iranduba,1301852,city,8355,17047.19349,21,158,0,0.0189,49011,False,False
202113,2021-03-31,368,AM,Itacoatiara,1301902,city,7260,7069.06457,51,285,0,0.0393,102701,False,False
202113,2021-03-31,323,AM,Itamarati,1301951,city,819,10481.18761,86,9,0,0.011,7814,False,False
202113,2021-03-31,340,AM,Itapiranga,1302009,city,2895,31365.11376,16,28,1,0.0097,9230,False,False
202113,2021-03-31,325,AM,Japurá,1302108,city,776,34473.5673,0,7,0,0.009,2251,False,False
202113,2021-03-31,347,AM,Juruá,1302207,city,887,5871.839,0,13,0,0.0147,15106,False,False
202113,2021-03-31,360,AM,Jutaí,1302306,city,1610,11594.41164,19,32,0,0.0199,13886,False,False
202113,2021-03-31,352,AM,Lábrea,1302405,city,5795,12360.82078,46,68,1,0.0117,46882,False,False
202113,2021-03-31,370,AM,Manacapuru,1302504,city,7527,7641.46921,19,297,2,0.0395,98502,False,False
202113,2021-03-31,343,AM,Manaquiri,1302553,city,1364,4127.20506,3,42,0,0.0308,33049,False,False
202113,2021-03-31,384,AM,Manaus,1302603,city,159948,7206.22821,439,8420,6,0.0526,2219580,False,False
202113,2021-03-31,358,AM,Manicoré,1302702,city,3494,6174.99956,52,71,1,0.0203,56583,False,False
202113,2021-03-31,344,AM,Maraã,1302801,city,1832,10032.30929,1,12,0,0.0066,18261,False,False
202113,2021-03-31,356,AM,Maués,1302900,city,3821,5874.84625,24,100,1,0.0262,65040,False,False
202113,2021-03-31,343,AM,Nhamundá,1303007,city,1677,7820.73404,0,31,0,0.0185,21443,False,False
202113,2021-03-31,344,AM,Nova Olinda do Norte,1303106,city,2429,6387.73471,7,61,0,0.0251,38026,False,False
202113,2021-03-31,367,AM,Novo Airão,1303205,city,2205,11064.8334,1,29,0,0.0132,19928,False,False
202113,2021-03-31,342,AM,Novo Aripuanã,1303304,city,1747,6707.36389,34,24,0,0.0137,26046,False,False
202113,2021-03-31,375,AM,Parintins,1303403,city,9175,7953.15656,36,316,2,0.0344,115363,False,False
202113,2021-03-31,326,AM,Pauini,1303502,city,2577,13200.49175,8,20,0,0.0078,19522,False,False
202113,2021-03-31,358,AM,Presidente Figueiredo,1303536,city,5608,15078.1061,9,88,0,0.0157,37193,False,False
202113,2021-03-31,344,AM,Rio Preto da Eva,1303569,city,4294,12590.16009,1,63,0,0.0147,34106,False,False
202113,2021-03-31,348,AM,Santa Isabel do Rio Negro,1303601,city,2686,10384.68974,0,47,0,0.0175,25865,False,False
202113,2021-03-31,371,AM,Santo Antônio do Içá,1303700,city,1732,8153.27402,8,40,0,0.0231,21243,False,False
202113,2021-03-31,360,AM,São Gabriel da Cachoeira,1303809,city,7842,16936.26763,31,105,0,0.0134,46303,False,False
202113,2021-03-31,359,AM,São Paulo de Olivença,1303908,city,4504,11239.48793,20,58,0,0.0129,40073,False,False
202113,2021-03-31,341,AM,São Sebastião do Uatumã,1303957,city,1402,9768.67336,4,18,0,0.0128,14352,False,False
202113,2021-03-31,342,AM,Silves,1304005,city,1286,13932.82774,4,22,0,0.0171,9230,False,False
202113,2021-03-31,358,AM,Tabatinga,1304062,city,3197,4758.71513,6,117,0,0.0366,67182,False,False
202113,2021-03-31,342,AM,Tapauá,1304104,city,1692,9944.16691,1,19,0,0.0112,17015,False,False
202113,2021-03-31,356,AM,Tefé,1304203,city,8087,13580.86889,38,162,0,0.02,59547,False,False
202113,2021-03-31,364,AM,Tonantins,1304237,city,1213,6419.00831,2,33,0,0.0272,18897,False,False
202113,2021-03-31,321,AM,Uarini,1304260,city,1699,12410.51863,11,22,0,0.0129,13690,False,False
202113,2021-03-31,341,AM,Urucará,1304302,city,1953,12107.87353,25,48,0,0.0246,16130,False,False
202113,2021-03-31,340,AM,Urucurituba,1304401,city,2271,9629.00148,5,31,0,0.0137,23585,False,False
202113,2021-03-31,384,AM,,13,state,349123,8297.21317,1313,12015,18,0.0344,4207714,False,False
202113,2021-03-31,340,AP,Amapá,1600105,city,1175,12789.81169,8,10,0,0.0085,9187,False,False
202113,2021-03-31,335,AP,Calçoene,1600204,city,1578,13957.19087,0,9,0,0.0057,11306,False,False
202113,2021-03-31,331,AP,Cutias,1600212,city,833,13653.49943,10,4,0,0.0048,6101,False,False
202113,2021-03-31,334,AP,Ferreira Gomes,1600238,city,1266,15890.54851,14,6,0,0.0047,7967,False,False
202113,2021-03-31,342,AP,Itaubal,1600253,city,424,7548.51344,0,3,0,0.0071,5617,False,False
202113,2021-03-31,351,AP,Laranjal do Jari,1600279,city,7755,15098.71111,52,80,1,0.0103,51362,False,False
202113,2021-03-31,377,AP,Macapá,1600303,city,43846,8548.61163,412,969,9,0.0221,512902,False,False
202113,2021-03-31,352,AP,Mazagão,1600402,city,2589,11739.89933,4,11,0,0.0042,22053,False,False
202113,2021-03-31,362,AP,Oiapoque,1600501,city,4895,17541.0306,9,32,0,0.0065,27906,False,False
202113,2021-03-31,343,AP,Pedra Branca do Amapari,1600154,city,3164,18538.70042,6,8,0,0.0025,17067,False,False
202113,2021-03-31,352,AP,Porto Grande,1600535,city,1673,7451.45199,0,20,0,0.012,22452,False,False
202113,2021-03-31,331,AP,Pracuúba,1600550,city,374,7129.24133,0,6,0,0.016,5246,False,False
