CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos cirúrgicos: Cirurgia geral
Período:Mar/2020-Abr/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"150345 Ipixuna do Pará";33;33;33;33;33;33;33;33;33;33;33;33;32;32
"150360 Itaituba";13;13;13;13;13;13;13;13;13;13;23;23;23;23
"150370 Itupiranga";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"150375 Jacareacanga";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150380 Jacundá";7;7;3;4;4;4;4;4;4;4;4;4;4;4
"150390 Juruti";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"150400 Limoeiro do Ajuru";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150405 Mãe do Rio";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150420 Marabá";80;80;80;80;80;80;80;80;80;80;80;57;47;47
"150430 Maracanã";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"150442 Marituba";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"150445 Medicilândia";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"150450 Melgaço";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150460 Mocajuba";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150470 Moju";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"150480 Monte Alegre";8;8;6;6;6;6;6;6;6;6;6;5;5;5
"150490 Muaná";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150495 Nova Esperança do Piriá";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150497 Nova Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150503 Novo Progresso";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"150506 Novo Repartimento";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150510 Óbidos";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"150520 Oeiras do Pará";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150530 Oriximiná";8;8;8;8;8;8;8;8;10;10;10;10;10;10
"150540 Ourém";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150543 Ourilândia do Norte";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150548 Pacajá";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150549 Palestina do Pará";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150550 Paragominas";22;22;22;22;22;22;22;22;22;22;22;22;22;22
"150553 Parauapebas";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"150555 Pau D'Arco";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150563 Piçarra";-;-;-;-;-;-;-;-;-;-;4;4;4;4
"150565 Placas";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150570 Ponta de Pedras";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"150580 Portel";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150590 Porto de Moz";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"150600 Prainha";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150613 Redenção";17;17;17;17;17;17;17;17;17;17;17;17;16;13
"150616 Rio Maria";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150618 Rondon do Pará";13;13;13;13;13;13;13;13;13;13;13;13;13;11
"150619 Rurópolis";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150620 Salinópolis";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"150630 Salvaterra";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150640 Santa Cruz do Arari";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"150650 Santa Izabel do Pará";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150658 Santa Maria das Barreiras";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150660 Santa Maria do Pará";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"150670 Santana do Araguaia";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150680 Santarém";33;34;41;41;41;41;25;25;25;25;25;33;29;29
"150700 Santo Antônio do Tauá";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150710 São Caetano de Odivelas";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150715 São Domingos do Araguaia";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150720 São Domingos do Capim";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150730 São Félix do Xingu";19;19;19;19;19;19;19;19;19;19;19;19;19;19
"150745 São Geraldo do Araguaia";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"150747 São João de Pirabas";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150750 São João do Araguaia";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150760 São Miguel do Guamá";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150770 São Sebastião da Boa Vista";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"150775 Sapucaia";2;2;-;-;-;-;-;-;-;-;-;-;-;-
"150780 Senador José Porfírio";4;4;4;2;2;2;2;2;2;2;2;2;2;2
"150790 Soure";9;9;9;9;9;9;9;9;9;9;9;9;9;9
"150795 Tailândia";8;8;8;8;8;8;8;8;8;8;8;8;4;4
"150797 Terra Santa";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150800 Tomé-Açu";24;24;24;24;24;24;24;24;24;24;24;24;24;24
"150803 Tracuateua";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150805 Trairão";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150808 Tucumã";13;13;13;13;13;13;13;13;13;13;13;13;13;13
"150810 Tucuruí";54;54;54;54;54;54;54;54;54;54;54;54;54;54
"150812 Ulianópolis";12;18;18;18;18;18;18;18;18;18;18;18;18;18
"150815 Uruará";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"150820 Vigia";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"150830 Viseu";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"150835 Vitória do Xingu";8;8;8;8;8;8;8;8;8;4;4;4;4;4
"150840 Xinguara";10;10;7;7;7;7;7;7;7;7;7;7;7;7
"160020 Calçoene";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"160027 Laranjal do Jari";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"160030 Macapá";78;78;78;78;78;77;77;77;77;77;77;77;77;77
"160050 Oiapoque";5;5;5;5;5;5;5;5;5;5;5;5;5;2
